description,input_description,output_description,problem_class,problem_score
"You really like playing games with your friend. You are
    currently playing a game where each player is given
    $n$ tiles with numbers on
    them. Each player then places the tiles down such that they
    form a sequence. Let $a_
    j$ denote the number on the $j$-th tile in the sequence, for
    $j=1, 2, \dotsc , n$. The
    score of the sequence is then computed by adding up
    the squares of differences of adjacent tiles, that
    is
The player with the lowest score wins.
","The first line of the input is an integer $n$, the number of tiles you have,
    where $1 \leq n \leq
    10^6$. The next line consists of $n$ integers each being at least one,
    but not larger than $10^6$.","The only line of the output should contain one integer, the
    lowest score you can achieve by arranging your tiles
    optimally.",easy,2.6
"A factory that constructs refrigerator will deliver a
    shipment of $n$
    refrigerators to a store. The factory has two cars it can
    use:
Car A costs $p_ a$
        Swedish kronor per trip, and can load $k_ a$ refrigerators per trip.
Car B costs $p_ b$
        Swedish kronor per trip, and can load $k_ b$ refrigerators per trip.
When transporting the refrigerators, each of the cars can be
    used any number of times. Depending on how many trips each car
    performs, one would get a different total cost of
    transporting all the refrigerators. Your task is to write
    a program that takes this data and computes how many trips each
    car should take in order to minimize this cost.
","The first and only line of input contains five integers
    separated by spaces:","Output a single line with three integers – the number of
    trips the first car should make, the number of trips the second
    car should make, and the total cost of transportation. For all
    given inputs, this answer is unique.",easy,2.5
"You ask your friend for a list of names and tell him you
    will pick the best one, defining the best one to be the
    shortest word, with ties being broken by which name is larger
    alphabetically. You furthermore require the name to be at least
    five characters long and that it has no repeated letter.
Your friend has now produced his list and all that is left
    is to find the “best” name.
","The first line of the input contains an integer $n$, where $1 \leq n \leq 20$. Then follow
    $n$ lines, each containing
    a string. The string contains only lowercase letters from the
    English alphabet and is at most $20$ characters long.","The output should contain the best name if one exists, and
    “Neibb” otherwise.",easy,2.5
"After many failed attempts, we noticed that this task gets
    significantly easier if the bottle is filled with just the
    right amount of water. The simple reason for this is that the
    amount of water affects the centre of mass of our bottle as it
    is about to land.1 A lower centre
    of mass makes it easier for the bottle to stay upright after it
    lands. Unfortunately, the optimal amount of water depends on
    the bottle, and we already wasted enough time on this
    challenge…
Given that our bottle is a perfect cylinder of height
    $h$ and radius
    $r$, determine the optimal
    amount of water the bottle should contain so that our chances
    of landing a successful bottle flip are maximised. You can
    assume that both the water and the air contained in the bottle
    have uniform density, and that the weight of the bottle itself
    is negligible.
",The input consists of:,"Output the height such that filling the bottle with water up
    to this height results in the lowest possible centre of mass
    while the bottle is standing upright. Your answer should have
    an absolute or relative error of at most $10^{-6}$.",easy,2.4
"Conway’s glasses are foggy,
    Knees weak, arms are heavy.
    Palms are sweaty, mom’s spaghetti.
    He’s nervous, but on the surface he looks calm and ready
    to go home neat and tidy, but the streets are trippy.
In order to go home, Conway needs to follow the street sign
    that is straight in front of him (not to the left/right).
    Trying to see the sign, he raises his head by an angle,
    aligning the center of the lenses to the center of the road
    sign, where the lens is always perpendicular to the line of
    sight. Unfortunately, Conway’s glasses are foggy so he needs to
    wipe his lenses with his trusty microfiber cloth. Conway can
    only see through the clear areas on the lens, and thus he wants
    to know the height of his glasses lens so he knows how much he
    needs to wipe.
Given the following information, find the height of the
    smallest area he needs to wipe before he can see the entire
    sign (the minimum length of the green line segment).
Distance from the pupil to the lenses: $d$ units.
Horizontal distance from the pupil to the road sign:
        $x$ units.
Vertical distance from the pupil to the center of the
        road sign: $y$
        units.
Vertical size of the road sign: $h$ units.
","The input consists of four space separated integers:
    $d$, $x$, $y$, $h$. It’s guaranteed that $0 < d < x < 10\, 000$,
    $0 \leq y < 10\, 000$,
    and $0 < h < 10\,
    000$.","Output one number, the minimum required height of the clear
    area on the lens. Your answer will be considered correct if the
    absolute or relative error does not exceed $10^{-6}$.",easy,2.4
"On her spare time Caitlin loves to do speed typing.
    Unfortunately Caitlyn was never good at spelling. So what often
    happens is that Catelin makes a mistake spelling a word, and
    has to go back and fix her typo. One word in particular that
    Caitlynn has a hard time spelling is the word mischievous. Catelyn usually spells it
    mischevious instead. In order to fix
    this typo, Caytlin needs to do 12 keys presses.

Katelin thinks that no matter how much time she puts into
    speed typing, she will always make mistakes. But maybe she can
    get better at quickly fixing her mistakes. Katelyn would like
    you to help her with this.
Suppose that Caytlyn has just written the word $S_1$, but that she should have
    written $S_2$. Assume that
    the cursor is initially at the end of $S_1$, and that after fixing the typo,
    Caitlin needs to place the cursor at the end of $S_2$. Output the fewest number of key
    presses needed to make $S_1$ into $S_2$.
The keys you are allowed to use are
the left and right arrow keys.
the back space key.
the keys $\texttt{a},
        \ldots , \texttt{z}$.
You are not allowed to press back space or the left arrow
    key when the cursor is all the way to the left. You are also
    not allowed to press the right arrow key when the cursor is all
    the way to the right.
","The first two lines contain the strings $S_1$ respectively $S_2$. Both $S_1$ and $S_2$ consist only of lowercase
    English letters, and are between $1$ and $100$ characters long.","Output a single line with the fewest number of key presses
    needed to make $S_1$ into
    $S_2$.",easy,2.4
"A trip odometer can be used to record the distance driven on
    a single trip. You are very diligent: at the start of each trip
    you reset the trip odometer to read $0$ and at the end of each trip you
    write down the distance travelled.
Thus, you maintain a list of distances (in kilometers) taken
    by all trips. Unfortunately, exactly one number from this list
    is spurious; you mistakenly recorded the length of one trip you
    took in another vehicle. You also forget which entry in your
    list corresponds to this trip.
You want to know all possible total distances that you could
    have taken in your own vehicle given that one of the written
    distances was fake. More specifically, all values $D$ such that it is possible to remove
    one trip from your list and have the remaining distances sum to
    $D$.
","The first line of input contains a single integer
    $N$ ($2 \leq N \leq 10^5$), the number of
    distances you wrote down. The second line of input consists of
    $N$ integers $d_1, d_2, \ldots , d_ N$
    ($1 \leq d_ i \leq 10^4$),
    where $d_ i$ is the length
    of the $i$th trip you
    recorded.","Display two lines. The first line should contain a single
    number $K$, which is the
    number of possible distinct distances that could be obtained.
    The second line should contain the list of the $K$ distinct integers, each of which
    is a possible sum that can be obtained by removing exactly one
    of the written distances. The list should be displayed in
    ascending order.",easy,2.4
"It’s time for a social distancing party! A group of friends
    are sitting around a circular table where some seats are filled
    and some seats are empty. In particular, to maintain social
    distancing protocols, no two people are sitting directly beside
    each other.
They want to expand the party and include more friends, but
    no one is willing to move out of their current seat. Given the
    current table seating, determine the maximum number of
    additional people that can be seated such that there is still
    at least one empty seat between all pairs of people seated.
","The first line of input contains two integers $S$ ($3
    \leq S \leq 1\, 000$), which is the number of seats at
    the table, and $N$
    ($1 \leq N \leq S/2$),
    which is the number of people that are already seated at the
    table.","Display the maximum number of additional friends that can be
    seated at the table such that there is still at least one empty
    seat between all pairs of people seated.",easy,2.4
"Your boss likes to see numbers going up as proof that your
    company is successful. To help with this, you came up with the
    idea to summarize a list of numbers by “zooming out,” that is,
    to discard everything except every $k^{th}$ number in the list, for some
    $k\ge 1$.
Business has been tough lately, with lots of ups and downs.
    However, if you pick the right value of $k$, maybe you can prove to your boss
    that things aren’t so bad after all! If possible, you should
    find the smallest value of $k$ such that $x_ k<x_{2k}<\dots <x_{qk}$,
    where $q=\lfloor \frac nk\rfloor
    $, and the list $x_
    k,x_{2k},\dots ,x_{qk}$ contains at least two
    elements.
","The first line contains an integer $n$, with $2\le n\le 10^5$. The second line
    contains $n$ integers
    $x_1,x_2,\dots ,x_ n$
    describing the list of numbers. It is guaranteed that
    $0\le x_ i\le 2^{30}$ for
    $i=1,\dots ,n$.","If possible, display the smallest value $k\ge 1$ for which $x_ k,x_{2k},\dots ,x_{qk}$ (where
    $q=\lfloor \frac nk\rfloor
    $) is strictly increasing and has at least two elements.
    If no such value of $k$
    exists, display the word “ABORT!”",easy,2.4
"Students in a boring class want to be able to write notes to
    each other while removing the threat of the teacher knowing
    what they are saying if the teacher happens to get hold of a
    note. Therefore, the students have created a simple way to
    encode their messages. The encoding involves finding the
    largest common factor (divisor) of the ASCII values of the
    characters in each word, something the students call a
    key, and dividing each ASCII value in the word by this
    key. The students then represent each resulting quotient in
    $\textrm{base }3$ (without
    leading zeros) to form the final encoded message.
For example, the first word of the message “Fix it” contains
    the ASCII values $70$,
    $105$, $120$, for ‘F’ ,‘i’, ‘x’,
    respectively. The largest common factor is $5$, and therefore the values get
    reduced to $14$,
    $21$, $24$, and represented in $\textrm{base }3$ as $112$, $210$, $220$. The same procedure is then
    applied to the word “it” to yield the $\textrm{base-}3$ values $10220$, $11022$.
Create a program that will encode a message, given as a
    single string, using the students’ encoding method.
","The input contains a message in the form of a single string
    composed of one or more space-separated words, where each word
    consists of one or more characters with ASCII values in the
    interval $[33, 126]$. The
    total number of characters in the message (including spaces) is
    between $1$ and
    $10\, 000$, inclusive.","For each word in the message (in order), output two lines,
    the first of which contains the key for that word, and the
    second of which contains the encoded word. Separate the
    encodings of adjacent letters in a word by a single space.",easy,2.4
"You discovered that you could easily trade a big dirt block
    of size $N$ for one of the
    rarest Minecraft blocks, Gene. Although excessively abundant,
    dirt blocks in this server come in different sizes — and, after
    careful observation, you realized that the size of each
    individual dirt block is always a positive integer that ends
    with $7$, i.e.
    $7$, $17$, $27$, etc. What is the minimum number
    of dirt blocks you need to trade for the Gene block?
","The first line contains an integer $1 \leq t \leq 405$, giving the number
    of test cases to follow. Each case consists of one line
    containing a single integer $0
    < N \leq 10^9 $, the size of the dirt block you need
    to make in order to trade for the Gene block.","For each test case, output one line containing a single
    number, the minimum number of dirt blocks you need to trade for
    the Gene block, or $-1$ if
    it cannot be done.",easy,2.4
"Alex is taking care of a baby panda who seems to be
    unusually sniffly. Every day, the baby panda may sneeze out
    zero or one slime(s) into its enclosure; every night, all
    slimes present in the enclosure split, so that the number of
    slimes doubles overnight. Alex places the baby panda into a
    clean enclosure with $0$
    slimes at the beginning of day $1$ and observes that at the end of
    night $n$, there are
    $m$ slimes in the baby
    panda’s enclosure. She is worried about the baby panda and
    wants to know the number of times the baby panda sneezed out a
    slime over these $n$
    days.
","The only line of input contains the space-separated integers
    $n, m$ ($1 \leq n \leq 10^{18}$, $0 \leq m \leq 10^{18}$, $m$ is even), where $n$ is the number of days and
    $m$ is the number of
    slimes present after night $n$.","On a single line, output the number of times that the baby
    panda sneezed out a slime.",easy,2.4
"Arithmetic coding is a method to represent a message as a
    real number $x$ such that
    $0 \leq x < 1$. We will
    assume that the message consists only of uppercase ‘A’s and
    ‘B’s. The two letters have associated probabilities
    $p_ A$ and $p_ B = 1 - p_ A$ such that
    $0 < p_ A < 1$.
The current interval $[a,b)$ is initially set to
    $[0,1)$ and we will update
    this interval one letter at a time. To encode a letter, the
    current interval is divided into two subintervals as follows.
    Let $c = a + p_ A(b-a)$.
    If the next letter is ‘A’, $[a,c)$ becomes the current interval.
    Otherwise, the current interval is now $[c,b)$. This process is repeated for
    each letter in the message. If $[k,\ell )$ is the final interval, the
    encoded message is chosen to be $k$.
For example, if the original message is “ABAB” and
    $p_ A = p_ B = 0.5$, the
    sequence of intervals encountered in the algorithm
    is
The encoded message is therefore 0.3125, or 0.0101 in
    binary.
Given the length of the message, the probabilities, and the
    encoded message, determine the original message.
","The first line contains the integer $N$ ($1
    \leq N \leq 15$), which is the length of the original
    message. The second line contains the integer $D$ ($1
    \leq D \leq 7$), which indicates that $p_ A = \frac{D}{8}$. The third line
    contains the binary representation of the encoded message. It
    is guaranteed that the binary representation of the encoded
    message starts with “0.” and contains at most $3N+2$ characters.",Display the original message.,easy,2.4
"You are an experienced investor who is investing in multiple
    companies. At the end of the year you are expected to file your
    taxes, which requires you to track and report the total number
    of shares you held during any of your trading days during the
    year.
The records you have kept are sorted by company: for each
    company, you have a list of notes stating how many shares of
    that company you owned on a given day.
Your tax accountant has asked you to produce a list of the
    total number of shares across all companies you have held on
    each of the days on which you have traded and recorded your
    holdings.
","The first line of input contains an integer $C$ ($1
    \le C \le 20$), the total number of companies of which
    you hold shares. Next will be $C$ blocks of records, one for each
    company.","Print, on a single line, for each day for which you have at
    least one record, the total number of shares held on that day.
    The share totals shall be printed in increasing order of
    trading days.",easy,2.4
"Harry Potter and his friends are now fourth-year students at
    Hogwarts School of Witchcraft and Wizardry. This year, one of
    their subjects is Astrology. To become a
    successful wizard, Astrology is crucial, as it allows one to
    predict future events or gain insights into people’s
    personalities and relationships.
In the first lecture, Harry Potter and his friends need to
    learn and understand Astrological Signs.
    One’s Astrological Sign is determined by
    their birthday, according to the following table:
For example, if one’s birthday is on May
    5th, their Astrological Sign is Taurus, as it lies between Apr 21st and May
    20th.
Today Harry Potter wants to determine the Astrological Sign
    of all his classmates. Please help him!
","The first line of the input contains a single integer
    $t$ $(1 \le t \le 1\, 000)$ — the
    number of Harry Potter’s classmates.","Print $t$ lines, each
    line contains the name of the Astrological Sign.",easy,2.4
"You and a few friends are running together once a week
    around Lund. You all agree that it is boring and also dangerous
    to run on your own rather than running with others. Therefore
    you and your friends decide to minimize the distance that
    anyone needs to run on their own.
You are $N$ friends,
    who live in $N$ different
    locations numbered $0$
    through $N-1$. Everyone
    will run exactly one lap going through all the locations in
    cyclic order (if you live in location $i$, you run $i\rightarrow i+1\pmod{N}\rightarrow \ldots
    \rightarrow N-1\rightarrow 0\rightarrow \ldots \rightarrow
    i-1\pmod{N}\rightarrow i$. Someone starts the run, then
    everyone joins the run as the group comes, runs exactly one lap
    and stops when the group comes back to their house.
Given that an optimal person starts the run, what is the
    minimal total distance that anyone has to run on their own? In
    the above example, an optimal choice would be to start the run
    at location $3$. Then
    the first runner has to run the leg from 3 to 0 alone, and it
    is easily checked that your friend living in location 2 also
    will be running alone from 1 to 2, for a total solitary
    distance of $4$.
","The first line of the input contains the number of friends
    in the group, $N$
    ($2\leq N\leq 10$). It is
    followed by $N$ lines
    where the $i$-th line
    contains a single integer, the distance from location
    $i$ to location
    $i+1\pmod{N}$. Each
    distance is between $1$
    and $10^4$.","The output consists of a single integer, the minimal total
    distance anyone has to run on their own, given that the optimal
    person starts the run.",easy,2.4
"Ninety-Nine Bottles of Beer is an anonymous folk
    song dating to the mid-20th century. It is a traditional
    reverse counting song, sometimes used to sing on long trips, as
    it has a very repetitive format which is easy to memorize and
    can take a long time to sing. The lyrics describe a quantity of
    bottles that is reduced by $1$ in every verse, until no bottles
    are left, at which point the song ends somewhat abruptly.
Many variations and similar songs are known in other
    languages.
","The input consists of exactly two lines. On the first line,
    the number $N$ of bottles
    $1\leq N\leq 99$. On the
    second line, a single word of at most $20$ lower- or uppercase characters
    from the English alphabet, not using whitespace, describing a
    beverage.","The full lyrics of the song, starting with $N$, and counting down until the last
    bottle gets taken. The lyrics are given by example below. Note
    the grammatical changes in the last two verses.",easy,2.4
"Business is booming at Big Bill’s Burger Shack. Bill sells
    the most convenient, customizable burger in town. Using either
    the shack’s website or mobile application, customers can
    request patties that are prepared precisely to the
    second. The $i$-th
    order consists of two integers: $d_ i$, the amount of time each side
    of the patty should be cooked and $t_ i$, the exact time at which the
    customer would like to pick up their order.
Big Bill is a talented grill cook, and he only hires
    talented grill cooks. In a given second, a grill cook can use a
    hand to do at most one of the following:
place a new patty on the grill,
flip a patty that is already on the grill,
remove a patty from the grill to serve it to a customer,
        or
do nothing.
Each grill cook has two hands, so they can do up to two of
    the above actions in a second.
When a patty is placed or flipped on the grill, the side on
    the grill immediately starts cooking. For example, if a patty
    is placed on the grill at $500$ seconds, flipped at $600$ seconds, and removed at
    $700$ seconds, then it has
    cooked $100$ seconds on
    each side.
These customers are demanding — they want to be served
    exactly at $t_ i$, and the
    patty must be cooked for exactly $d_ i$ seconds on each side. Once a
    patty is on the grill, it must not be taken off until the
    customer wants it served. Orders that are not prepared exactly
    to the customers’ specifications would ruin Big Bill’s
    reputation. However, he doesn’t want to hire more grill cooks
    than he needs to. What is the minimum number of grill cooks
    needed to serve all the orders?
","The first line contains a single integer $1 \leq n \leq 100$, the number of
    orders for Big Bill’s patties. The next $n$ lines each contain two integers,
    $d_ i$ and $t_ i$. This means that the
    $i$-th patty should be
    cooked for exactly $d_ i$
    seconds on each side and needs to be served exactly at time
    $t_ i$. It is guaranteed
    that $1 \leq d_ i \leq
    600$, $2 \leq t_ i \leq
    43\, 200$, and that it is possible to cook every order
    to specification without taking an action before second
    $0$.","Output a single integer, the minimum number of cooks needed
    to prepare all of the orders.",easy,2.4
"Your favourite social media website is changing their policy
    on login password validation: a slight error when logging in is
    now acceptable! In particular, assuming the password you chose
    when creating the account is $S$, a password $P$ entered while logging in will be
    accepted if any of the following conditions are met:
$P$ and
        $S$ are identical;
$S$ can be formed
        from $P$ by prepending
        a single digit (0–9);
$S$ can be formed
        from $P$ by appending
        a single digit;
$S$ is equal to
        $P$ after reversing
        the case of all letters in $P$.
To reverse the case of a string, replace all uppercase
    letters with their equivalent lowercase letters, and all
    lowercase letters with their equivalent uppercase letters,
    while leaving all other characters the same. For example, the
    case-reversal of pa55WORD is
    PA55word.
Any other attempted password $P$ will be rejected. So for example,
    if $S$ is c0deninja5, then c0deninja will be accepted, but not C0deninja5 or c0deninja51.
Write a program which, given alphanumeric strings
    $S$ and $P$, determines whether $P$ should be accepted.
","The first line of the input is the string $S$, the stored password, and the
    second line of input is the password $P$ that a user has entered while
    attempting to log in. Each string consists of only digits
    0–9,
    lowercase letters a–z, and uppercase letters A–Z. The strings
    won’t contain spaces or any other extraneous characters, and
    will each contain at least one and at most $101$ characters.","Print Yes if $P$ should be accepted according to
    the above rules, and No
    otherwise.",easy,2.4
"Each land cell must have a coffee shop directly on it,
        or adjacent to it.
No two coffee shops can be adjacent to each other.
Two cells are adjacent if one is immediately to the west,
    north, east, or south of the other. Find any placement of
    coffee shops that satisfies these constraints.
","The first line of input consists of two integers
    $n$ and $m$ ($1
    \leq n,m \leq 100$). The following $n$ lines each contain a string of
    length $m$ consisting only
    of the characters ‘.’ (land) and
    ‘#’ (water). This is the map of
    gridland. It is guaranteed that the map contains at least one
    land cell.","Output a copy of the map of gridland, where some of the land
    cells have been replaced with the letter ‘E’, meaning that a coffee shop was placed on
    the corresponding land cell. This placement should satisfy the
    constraints above. If there are many solutions, any one will be
    accepted.",easy,2.4
"Oh, no. Atli has just painted himself into a corner. He has
    been playing the video game Planetaris and decided to
    start a war against his friend Finni. The downside is Finni had
    a considerably larger spaceship fleet than Atli expected. Atli
    now needs your help to turn the tide, by determining how many
    fights Atli can win.
Each space fight takes place in a solar system. This early
    in Planetaris all the spaceships are identical. Since
    Atli spent most of his Intergalactic Super Kurrency (ISK) on an
    eavesdropping station he knows to which solar systems Finni’s
    fleets are going and how many ships are in each fleet. If Atli
    sends fewer ships than Finni to a particular solar system he
    will lose and Finni gains control of the solar system. If they
    send the same number of ships there will be no ships left over
    to claim the system, so there is no winner. However if Atli
    sends more ships than Finni to a system he wins the battle and
    gains control of that solar system.
","The first line of the input contains two integers
    $1 \leq n \leq 10^5$ and
    $0 \leq a \leq 10^9$,
    where $n$ is the number of
    solar systems and $a$ is
    the total number of ships Atli has at his disposal. The next
    line contains $n$ integers
    $0 \leq e_ i \leq 10^9$,
    where $e_ i$ indicates
    Finni is sending $e_ i$
    ships to the $i$th solar
    system.","The only line of the output should contain an integer
    indicating the largest number of battles Atli can win if he
    plays optimally.",easy,2.4
"Bash just woke up from his sweetest dream ever. In his
    dream, he became the best Pokenom trainer — like no one ever
    was. It was on the date …
Unfortunately, Bash forgot the exact date. He only
    remembered that the date was written in format ‘DD MM YYYY’
    with exactly $8$ digits.
    He also remembers these $8$ digits (but he does not remember
    their order). Of course, the date must be a valid date.
Since Bash was born on Jan 1st, 2000, he knows that the date
    was on or after Jan 1st, 2000. (Note that the date can be Jan
    1st, 2000 — it means Bash is destined to be the best Pokenom
    trainer since he was born!).
Bash really wants to know the date when he become the best
    Pokenom trainer. How many possible valid dates could there be?
    What is the earliest valid date that Bash could become the best
    Pokenom trainer?
","The first line contains one integer $t$ $(1 \leq t \leq 50)$ — the number
        of test cases.","For each test case, output a single line containing the
    number of possible dates and the earliest date which Bash could
    become the best Pokenom trainer, in the format ‘DD MM YYYY’. If
    there are no valid dates, print a single line containing
    ‘$0$’ (zero) instead.",easy,2.4
"An interesting theory in mathematics is that there is a
    sequence generator that, given any positive integer as the
    starting point, always ends with the number $1$. Although this theory has never
    been proven, the conjecture is known as the Collatz Conjecture
    (named after Lothar Collatz, who posed the idea in 1937). Given
    an integer, $n\geqslant
    1$, this conjecture pertains to the sequence
    $h(n)$, which we
    recursively define as follows:
If $n=1$, the
        sequence is composed of a single integer: $1$
If $n$ is even, the
        sequence is composed of $n$ followed by sequence
        $h(n/2)$
If $n$ is odd, the
        sequence is composed of $n$ followed by sequence
        $h(3\cdot n + 1)$
For example, the following are the sequences for the numbers
    $5$ and $7$:
$h(5) = (5, 16, 8, 4, 2,
      1)$
$h(7) = (7, 22, 11, 34, 17,
      52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1)$
The $h(n)$ sequence is
    commonly known as the hailstone sequence, because of
    its nature of going up and down like a hailstone in a cloud
    before eventually falling to Earth. In this problem, you will
    calculate the sum of all the values in a hailstone
    sequence. Using the sequences above, the sum of $h(5)$ is $36$ and the sum of $h(7)$ is $288$.
Your solution must use a
      RECURSIVE function,
      based on the recursive definition of $h(n)$ presented above.
On the exam, any other type of
      solution will receive zero points!
EVEN IF KATTIS JUDGES IT AS
      CORRECT!
Note: You are allowed to add up the numbers
    iteratively, as long as the $h(n)$ sequence is computed
    recursively.
","The input contains a single positive integer, $n$ ($0
    < n \leqslant 2^{32}-1$).","The output contains a single integer: the sum of all the
    values in $h(n)$. You may
    assume that this sum will fit in an unsigned 64-bit
    integer.",easy,2.4
"Boating season is over for this year, and Theseus has parked
    his boat on land. Of course, the boat looks nothing like it did
    as of the beginning of the season; it never does. You see,
    Theseus is constantly looking for ways to improve his boat.
At every day of the boating season, Theseus bought exactly
    one type of item at his local supply store, and replaced the
    existing part on his boat with it. Now, as the season has
    ended, Theseus wonders what day he replaced all the parts from
    the previous season.
","The first line of the input consists of two space-separated
    integers $P$ and
    $N$, representing the
    number of parts the boat consists of, and the number of days in
    the boating season respectively.
    Then follows $N$ lines,
    each line has a single word $w_
    i$, the type of boat part that Theseus bought on day
    $i$.","Output the day Theseus ended up replacing the last existing
    part from the previous season, or paradox
    avoided if Theseus never ended up replacing all the
    different parts.",easy,2.4
"Aristid is the mayor of a town called Linden. He and the
    townsfolk love fractals. One day, Aristid decides to
    genetically alter trees so that they have mathematically
    pleasing structures. It turns out that the people of Linden
    will support this idea only if the trees are sufficiently
    “tree-like.” So Aristid came up with the following system to
    generate realistic looking trees. Since he’s a little vain, he
    decided to call it the Linden Mayor System.
Start with a sequence of letters $S_0$. This is the seed that will be
    used to generate the rest of the tree. Next define some rules
    to model the branching behavior of the tree. A rule will have
    the form $x \rightarrow
    y$, indicating that the letter $x$ will be replaced with the sequence
    $y$. By applying these
    rules to $S_0$, the new
    sequence $S_1$ is created.
    These rules can be applied over and over to produce new
    sequences. In general, to create $S_{n+1}$ from $S_ n$, replace all the letters in
    sequence $S_ n$ according
    to the rules. Some letters may not have a rule associated with
    them. Such terminal letters are not replaced.
As an example, consider the starting sequence A with rules:
    A $\rightarrow $ AB and B
    $\rightarrow $ A. The
    first four iterations are as follows:
$S_0$:
A
Starting sequence.
$S_1$:
AB
A is replaced with AB by rule A $\rightarrow $ AB. Note that
          rule B $\rightarrow
          $ A couldn’t be applied.
$S_2$:
ABA
Again, A is replaced by AB but B is replaced with A
          (rule B $\rightarrow
          $ A).
$S_3$:
ABAAB
Keep applying rule A $\rightarrow $ AB for A’s and
          rule B $\rightarrow
          $ A for B’s...
$S_4$:
ABAABABA
This is the resulting sequence after four
          iterations.
","The first line will contain two positive integers
    $n$ and $m$ where $0 \leq n \leq 26$ and $0 \leq m \leq 5$. Following this will
    be $n$ lines defining the
    rules for a Linden Mayor System. Each line is of the form:
    $x$ -> $y$,
    indicating that $x$ is
    replaced by $y$.
    $x$ is an uppercase letter
    from A to Z, and $y$ will
    contain between one and five uppercase letters from A to Z. The
    last line will contain the starting sequence $S_0$, which is non-empty and no
    longer than $30$
    characters and will contain only uppercase letters from A to
    Z.","Output the resulting sequence $S_ m$ which is produced after
    $m$ iterations.",easy,2.4
"Linda is giving an exam. When the exam is over, Linda will
    redistribute the exams among the students for a peer review, so
    they may grade each other’s answers and assign preliminary
    scores.
The students are split up in several rooms of varying sizes.
    Linda has devised the following scheme for redistributing the
    exams:
Linda visits the first room, picks up all exams written
        there, and places them in a pile.
In each subsequent room Linda takes exams from the top
        of her pile and randomly distributes them to the students
        in the room. She then picks up all exams written in that
        room and adds them to the bottom of her pile.
After having visited each room exactly once, Linda
        returns to the first room, and distributes the remaining
        exams from her pile there.
Naturally, it is imperative that no student receives their
    own exam to review, and that Linda does not run out of exams in
    her pile while doing the redistribution (i.e., that when
    entering a room after the first one, Linda’s pile contains at
    least as many exams as there are students in the room). Whether
    or not this is the case depends on the order in which the rooms
    are visited. We say that an ordering of the rooms is
    safe if Linda will not run out of exams in her pile
    when visiting rooms in that order, and that there is no chance
    that any student receives their own exam to review.
Can you find a safe order in which to visit the rooms (or
    determine that no safe order exists)?
",The input consists of:,"If it is impossible to redistribute the exams safely, output
    “impossible”. Otherwise, output a
    safe order in which to visit the rooms. If there are multiple
    safe orders, you may give any of them.",easy,2.4
"While mostly known for the programs she wrote for Charles
    Babbage’s Analytic Engine, Augusta Ada King-Noel, Countess of
    Lovelace, described how the method of finite differences could
    be used to solve all types of problems involving number
    sequences and series. These techniques were implemented in
    Babbage’s Difference Engine.
The algorithm: If we compute the difference between
    consecutive values in a numeric sequence, we will obtain a new
    sequence which is related to the derivative of the function
    implied by the original sequence. For sequences generated from
    first-order polynomials (linear functions) the successive
    differences will be a list of identical values, (i.e., a
    constant difference). For second-order polynomial functions the
    lists of differences will be a new sequence whose values change
    linearly. In turn, the list of differences of the values in
    this generated list (i.e., the finite differences of the list
    of differences) will be constant, and so on for higher-order
    polynomials. In general the $n^{\text {th}}$ row of differences
    will be constant for an $n^{\text
    {th}}$ degree polynomial.
For example, the first-order polynomial $3x + 3$ produces the sequence below
    at $x=0,1,2,3,4$, and the
    first differences are shown on the following line.
As another example, the polynomial $x^2$, if evaluated at inputs
    $x=3, 5, 7, 9,$ produces
    the sequence below.
Furthermore, if we consider a minimum-order polynomial that
    produces the original sequence, its value at the next regularly
    spaced input can be predicted by extending the difference
    table.
","The input consists of a value $n$, designating the number of
    polynomial evaluations given with $2 \leq n \leq 10$, follwed by
    $n$ values $v_1, v_2, \ldots , v_{n}$ which
    represent the value of a polynomial when evaluated at
    $n$ regularly spaced input
    values. Each $v_ j$ will
    satisfy $-2\, 000\, 000 \leq v_ j
    \leq 2\, 000\, 000$ and at least two of those values
    will differ from each other.","Output two integer values $d$ and $v_{n+1}$, separated by a space. The
    value $d$ must be the
    degree of a minimal-degree polynomial producing the original
    sequence, and $v_{n+1}$
    must be the value of the polynomial if evaluated at the next
    regularly spaced input value.",easy,2.4
"A sequence of positive rational numbers is defined as
    follows:
An infinite full binary tree labeled by positive rational
    numbers is defined by:
The label of the root is $1/1$.
The left child of label $p/q$ is $p/(p+q)$.
The right child of label $p/q$ is $(p+q)/q$.
The top of the tree is shown in the following figure:
The sequence is defined by doing a level order (breadth
    first) traversal of the tree (indicated by the light dashed
    line). So that:
Write a program which finds the value of $n$ for which $F(n)$ is $p/q$ for inputs $p$ and $q$.
","The first line of input contains a single integer
    $P$, $(1 \le P \le 1000)$, which is the
    number of data sets that follow. Each data set should be
    processed identically and independently. Each data set consists
    of a single line of input. It contains the data set number,
    $K$, a single space, the
    numerator, $p$, a forward
    slash (/) and the denominator,
    $q$, of the desired
    fraction.","For each data set there is a single line of output. It
    contains the data set number, $K$, followed by a single space which
    is then followed by the value of $n$ for which $F(n)$ is $p/q$. Inputs will be chosen so
    $n$ will fit in a
    $32$-bit integer.",easy,2.3
